Bank,x1,x2,x3,y1,y2
AT0000000000043000VB,527.58170956,283.68710209,30815.39560083,1108.9983851900001,143.23068932
B81CK4ESI35472RHJ606,19062.03058431,1117.89903813,357942.26975949,21810.57764096,319.99144548000004
BFXS5XCH7N0Y05NIXW11,10288.170649,2464.326572,393815.579458,16031.71149,934.5945119999999
DG3RU1DBUFHT4ZF9WN62,15686.322984,4043.797271,621641.437123,26064.568027,1180.6780230000002
DIZES5CFO5K3I5R58746,5905.02096345,751.08874494,203083.76779537,7168.781625080001,274.72256532
DSNHHQ2B9X5N6OUJ1236,4188.3810091899995,436.49349001999997,115231.20110267,5470.37263694,138.72641908
DZZ47B9A52ZJ6LT6VV95,2196.621064,123.54707200000001,45987.84311,2883.294292,2.74799
F0HUI1NY1AZMJMD8LP67,7085.91,1173.692,257673.99,7448.909,637.711
F3JS33DEI6XQ4ZBPTN86,10006.079582904169,1206.2993439852094,324439.324964127,12866.582340772038,1028.759466613847
FR9695005MSX1OYEMGDF,41414.180462,8858.784816000001,1437784.923021,45134.859914,6229.331625999989
FR969500TJ5KRTCJQWXH,63821.00263869999,12777.789870260001,2107649.95170349,79124.4735361,8780.714201969999
J48C8PCSJVUBR8KCW529,1096.506755,331.079406,56705.337311,2120.720121,217.39268099999998
J4CP7MHCXR8DAQMKIL78,2487.88474,1055.099021,128710.725835,4450.087997,747.269563
JEUVK5RWVJEN8W0C9M24,1895.703964,453.23341700000003,81256.320642,3924.885597,235.324623
JU1U6S0DG9YLT7N8ZV32,1744.7634657899998,620.90226563,99720.46391868,4586.57586509,397.41921145
K8MS7FD7N5Z2WQ51AZ71,32689.979,6772.544,731778.476,58068.403000000006,4076.848
LIU16F6VZJSD6UKHD557,5797.501153692241,428.3503208622188,227014.761089126,7591.35593235265,84.3651771612471
LOO0AWXR8GF142JCO404,965.925563,936.309083,88053.14403,3392.646392,391.64672199999995
M312WZV08Y7LYUC71685,6969.57911879923,1301.2026057484836,234852.91324442,10628.036797394245,713.3740041375054
M6AD1Y1KW32H8THQ6F76,948.204821,404.881326,76625.849253,2813.426515,286.40517300000005
MAES062Z21O4RZ2U7M96,8975.83280906468,1644.923952249412,435551.66350174,13451.97014793563,991.880525175997
N1FBEDJ5J41VKZLO2475,3048.55308618,1115.197645,155948.88807777,5283.97184542,663.91590487
N747OI7JINV7RUUH6190,1671.0368899999999,1724.553373,139397.353426,4832.316580000001,1040.77748
NHBDILHZTYCNBV5UYZ31,10407.15532112592,1109.4208354637008,302877.789386098,13292.711969892149,422.05650497909187
NNVPP80YIZGEY2314M97,2536.691539,1682.64319,166191.248543,6635.922667,703.8844889999999
O2RNE8IBXP4R0TD8PU41,42986.8134146,9346.210100659999,1428443.62506084,48896.28689587,3514.29720343
P4GTT6GF1W40CVIMFR43,2136.684474820138,1080.587059642608,116950.006563703,6724.577752146664,611.5241035042926
PQOH26KWDF7CG10L6792,10324.30508325,2597.4006084800003,344112.99808994,16856.986298429998,1574.7514501500002
PSNL19R2RXX5U3QWHI44,3822.169082,1633.465921,99095.434148,7919.252022,944.798473
R0MUWSFPU8MPRO8K5P83,60761.005838,14333.835821,2432761.97554,80909.387997,8046.753577
RIL4VBPDB0M7Z3KXSF19,600.9067123707177,92.0630586702484,10535.8519189926,930.0166391873736,50.28749253861647
SI5RG2M0WQQLZCXKRM20,4300.9039999999995,1515.3490000000002,244320.709,9265.715,675.975
TO822O0VT80V06K0FH57,1349.251888,546.756917,103790.407868,3846.8608430000004,293.722958
TUKDD90GPC79G1KOE162,957.2217257299999,167.00214846,32311.56674004,1663.59699134,16.64915628
VDYMYTQGZZ6DU0912C88,7206.89089052,785.08384519,279110.85544384,9207.576213690001,280.46117537000003
VWMYAEQSTOPNV0SUGU82,1947.5026090000001,493.25602000000003,118408.207108,4172.477427,352.323824
XXXXXXXXXXXXXXXXXXXX,4730.535590013635,1621.4559140646077,331862.179791258,12897.08868389896,1000.9686244661737
